RecordID,Timestamp,Computer,Channel,Provider,EventID,Severity,TaskCategory,AccountName,AccountDomain,TargetUserName,TargetDomainName,LogonType,IpAddress,WorkstationName,ProcessName,ParentProcessName,CommandLine,ObjectName,ServiceName,ShareName,Status,SubStatus,FailureReason,PrivilegeList,GroupName,SubjectUserName,SourcePort,DestinationIp,DestinationPort,Protocol,RuleName,Message
100000,5/1/2026 8:00,DC01,Security,Microsoft-Windows-Security-Auditing,4625,Warning,Logon,admin.casey,WHEELIEGOOD,admin.casey,WHEELIEGOOD,10,203.0.113.77,VPN-GW01,-,-,-,-,-,-,0xC000006A,0xC000006A,Bad password,-,-,admin.casey,52800,-,-,-,-,An account failed to log on. Account locked or bad password from external VPN source
100001,5/1/2026 8:03,DC01,Security,Microsoft-Windows-Security-Auditing,4625,Warning,Logon,admin.casey,WHEELIEGOOD,admin.casey,WHEELIEGOOD,2,203.0.113.77,VPN-GW01,-,-,-,-,-,-,0xC000006A,0xC000006A,Bad password,-,-,admin.casey,58164,-,-,-,-,An account failed to log on. Repeated failed admin login via VPN
100002,5/1/2026 8:06,DC01,Security,Microsoft-Windows-Security-Auditing,4740,Warning,User Account Management,admin.casey,WHEELIEGOOD,admin.casey,WHEELIEGOOD,2,203.0.113.77,VPN-GW01,-,-,-,-,-,-,0x0,-,-,-,-,admin.casey,56466,-,-,-,-,A user account was locked out. Account locked out after repeated failures
100003,5/1/2026 8:09,DC01,Security,Microsoft-Windows-Security-Auditing,4624,Information,Logon,svc_backup,WHEELIEGOOD,svc_backup,WHEELIEGOOD,2,10.10.20.88,JUMP01,-,-,-,-,-,-,0x0,-,-,-,-,svc_backup,52510,-,-,-,-,An account was successfully logged on. Successful service account logon after lockout noise
100004,5/1/2026 8:12,DC01,Security,Microsoft-Windows-Security-Auditing,4672,Information,Special Logon,svc_backup,WHEELIEGOOD,svc_backup,WHEELIEGOOD,10,10.10.20.88,JUMP01,-,-,-,-,-,-,0x0,-,-,SeDebugPrivilege;SeBackupPrivilege;SeRestorePrivilege,-,svc_backup,52000,-,-,-,-,Special privileges assigned to new logon. Privileged service account received admin privileges
100005,5/1/2026 8:15,JUMP01,Security,Microsoft-Windows-Security-Auditing,4648,Information,Logon,svc_backup,WHEELIEGOOD,svc_backup,WHEELIEGOOD,10,10.10.20.88,JUMP01,-,-,-,-,-,\\FILE01\Finance,0x0,-,-,-,-,svc_backup,62977,-,-,-,-,A logon was attempted using explicit credentials. Explicit credentials used to access FILE01
100006,5/1/2026 8:18,JUMP01,Security,Microsoft-Windows-Security-Auditing,4688,Information,Process Creation,svc_backup,WHEELIEGOOD,svc_backup,WHEELIEGOOD,-,10.10.20.88,JUMP01,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,C:\Windows\System32\cmd.exe,powershell.exe -NoP -EncodedCommand SQBFAFgA...,-,-,-,0x0,-,-,-,-,svc_backup,50193,-,-,-,Suspicious PowerShell / Persistence Chain,A new process has been created. PowerShell launched with encoded command
100007,5/1/2026 8:21,JUMP01,Microsoft-Windows-Sysmon/Operational,Microsoft-Windows-Sysmon,1,Information,Process Create,svc_backup,WHEELIEGOOD,svc_backup,WHEELIEGOOD,-,10.10.20.88,JUMP01,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,C:\Windows\System32\cmd.exe,powershell.exe -NoP -EncodedCommand SQBFAFgA...,-,-,-,0x0,-,-,-,-,svc_backup,50128,-,-,-,Suspicious PowerShell / Persistence Chain,Sysmon process creation event. Sysmon: suspicious encoded PowerShell process created
100008,5/1/2026 8:24,JUMP01,Microsoft-Windows-Sysmon/Operational,Microsoft-Windows-Sysmon,3,Information,Network Connection,svc_backup,WHEELIEGOOD,svc_backup,WHEELIEGOOD,-,45.83.64.12,JUMP01,-,-,-,-,-,-,0x0,-,-,-,-,svc_backup,52222,45.83.64.12,443,TCP,Suspicious PowerShell / Persistence Chain,Sysmon network connection detected. Outbound connection to unusual external IP over 443
100009,5/1/2026 8:27,JUMP01,Security,Microsoft-Windows-Security-Auditing,4698,Warning,Task Scheduler,svc_backup,WHEELIEGOOD,svc_backup,WHEELIEGOOD,-,10.10.20.88,JUMP01,-,-,-,\Microsoft\Windows\Update\WinUpdateHelper,-,-,0x0,-,-,-,-,svc_backup,56316,-,-,-,Suspicious PowerShell / Persistence Chain,A scheduled task was created. Persistence scheduled task created
100010,5/1/2026 8:30,JUMP01,System,Service Control Manager,7045,Warning,Service Install,svc_backup,WHEELIEGOOD,svc_backup,WHEELIEGOOD,-,10.10.20.88,JUMP01,-,-,-,-,WinUpdateHelper,-,0x0,-,-,-,-,svc_backup,56775,-,-,-,Suspicious PowerShell / Persistence Chain,A service was installed in the system. Potential malicious service installed
100011,5/1/2026 8:33,DC01,Security,Microsoft-Windows-Security-Auditing,4720,Warning,User Account Management,helpdesk01,WHEELIEGOOD,temp.audit,WHEELIEGOOD,-,10.10.5.23,WS-ENG-014,-,-,-,-,-,-,0x0,-,-,-,-,helpdesk01,50021,-,-,-,-,A user account was created. New user account created: temp.audit
